Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Chad,163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,1024.838,776.105,700.558,671.18,713.426,689.327,653.088,697.372,743.373,754.589,771.709,791.931,815.805,840.358
Chile,2597.549,3025.261,2219.443,1774.259,1698.55,1434.097,1514.712,1755.798,2034.857,2305.093,2520.977,2849.074,3391.291,3571.257,4057.604,5152.669,5386.14,5796.345,5474.114,4980.135,5096.34,4606.789,4478.908,4824.733,6184.409,7559.845,9414.678,10445.43,10751.477,10162.886,12710.955,14552.058,15313.565,15743.269,14583.039,13494.113,13717.576,14994.25,15739.912,14567.634,12968.523,16065.041,15603.613,17281.123,17677.067,18313.666,18901.661,19553.346
"China, People's Republic of",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,1044.958,1141.14,1282.21,1499.712,1751.368,2095.239,2691.048,3446.695,3813.408,4499.803,5553.242,6282.709,7039.574,7645.875,8034.287,8063.446,8760.259,9848.949,10170.061,10525.001,12561.687,12970.328,13629.256,14671.488,15898.494,17267.366,18826.229
Colombia,1681.741,1792.253,1878.094,1827.16,1767.172,1622.996,1592.199,1623.392,1714.211,1693.401,1690.417,1711.649,1985.733,2208.302,2725.705,3034.076,3135.79,3397.944,3089.643,2672.575,2534.444,2460.326,2423.363,2312.597,2826.04,3493.976,3836.682,4834.416,5622.109,5330.806,6498.585,7518.304,8237.293,8409.7,8312.056,6337.03,6037.133,6577.287,6923.64,6540.141,5368.324,6158.91,6644.492,6939.548,7218.888,7521.391,7853.515,8197.042
Comoros,684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,1055.357,1085.659,1110.984,1251.857,1403.796,1351.145,1322.638,1450.159,1403.417,1500.731,1505.178,1231.135,1256.035,1300.566,1386.014,1359.75,1357.291,1393.928,1299.682,1302.156,1324.78,1363.516,1407.54,1451.647
"Congo, Dem. Rep. of the",2730.694,2301.277,2422.242,1891.283,1221.72,1080.898,1174.016,1075.998,1206.847,1188.851,1192.38,1120.914,973.197,1222.443,639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,215.172,248.176,280.397,316.269,289.689,326.681,379.705,417.545,450.642,479.602,490.698,459.14,460.832,553.88,573.292,536.45,603.228,660.21,703.907,747.751,793.333,840.639,887.395
"Congo, Republic of ",1362.75,1083.721,916.547,808.393,721.033,717.264,951.697,1121.613,1157.519,1150.77,1310.373,1326.741,1398.92,1249.625,839.501,973.005,1097.225,967.806,823.561,949.351,1268.422,1037.327,1109.284,1255.568,1617.326,2058.304,2436.377,2586.304,3346.18,2722.039,3597.956,4175.34,4607.39,4559.725,4438.243,2873.72,2395.178,2555.443,3062.923,2800.287,2206.386,2634.223,2945.102,2843.888,2927.167,2893.911,2871.151,2938.807
Costa Rica,2108.75,1111.35,1071.935,1257.355,1421.164,1478.366,1611.323,1612.564,1598.038,1763.481,1880.75,2305.412,2684.089,2926.911,3110.155,3336.709,3277.614,3450.907,3653.153,3715.408,3941.14,4041.943,4122.829,4227.819,4483.59,4756.337,5309.271,6194.045,6993.896,6879.266,8268.859,9270.571,10107.452,10764.529,10853.638,11635.197,11986.918,12185.259,12428.924,12691.127,12117.607,12435.577,13089.857,13805.033,14254.211,14819.787,15454.357,16115.071
Croatia,,,,,,,,,,,,,2597.101,2812.884,3846.143,5042.842,5267.39,5259.29,5648.035,5148.069,4985.102,5412.502,6293.502,8130.467,9746.539,10621.885,11797.839,14047.053,16415.451,14653.769,14068.926,14755.903,13400.312,13836.714,13763.671,11932.274,12528.846,13627.745,15226.976,15312.708,14131.145,16785.334,17318.053,18451.271,19872.624,21139.398,22214.205,23248.659
Cyprus,4549.59,4352.502,4452.666,4399.223,4575.652,4824.674,6057.903,7188.216,8204.3,8635.765,10359.998,10413.726,12158.597,11342.407,12525.318,15396.919,15260.362,14323.919,15181.803,15379.835,14464.816,14905.024,16188.394,20389.178,23969.645,25527.252,27448.569,31774.607,36009.56,32650.265,31438.962,32819.465,28993.69,27601.694,26995.186,23428.592,24692.372,26746.283,29546.547,29411.884,27783.759,30957.168,29534.735,30239.866,31305.844,32846.191,34567.714,36495.4
