Country,WC1,WC2,FT,QS,G,W,D,L,G+,G-,GD,P2+,P%,P+,P3+
Venezuela,12,10,12,122,23,19,80,101,279,-178,65:179,"0,266",86,88,
Senegal,11,6,1,10,60,23,21,16,82,57,25,67:,53,558,85
Syria,13,11,13,64,27,15,22,137,75,62,69:,59,"0,539",83,96
Bosnian-Herzegovina,5,5,1,4,51,24,8,19,92,60,32,56:,46,549,80
Slovenia,5,5,2,3,58,22,13,23,74,71,3,57:,59,491,79
Panama,10,10,10,78,21,17,40,88,142,-54,59:,97,"0,378",78,80
Jordan,8,8,8,62,23,13,26,84,85,-1,59:,65,"0,476",77,82
Togo,9,6,1,8,64,21,14,29,69,88,-19,56:,72,438,75
Upper_Volta/Burkina,Faso,7,5,7,52,23,7,22,74,70,4,53:,51,510,74
Iceland,12,11,12,96,21,18,57,100,208,-108,60:132,"0,313",73,81,
Congo,8,6,8,54,21,10,23,61,68,-7,52:,56,"0,481",72,73
Rhodesia/Zimbabwe,10,9,10,61,21,16,24,62,75,-13,58:,64,"0,475",72,79
Kenya,11,11,11,64,21,15,28,71,87,-16,57:,71,"0,445",72,78
Cuba,12,5,1,11,69,21,19,29,89,113,-24,61:,77,442,72
Thailand,11,11,11,73,20,14,39,96,126,-30,54:,92,"0,370",67,74
Latvia,7,6,7,65,17,14,34,75,112,-37,48:,82,"0,369",63,65
Netherl._India/Indonesia,13,11,1,12,72,19,16,37,87,149,-62,54:,90,375,62
Gabon,7,7,7,49,19,8,22,54,57,-3,46:,52,"0,469",61,65
Libya,9,4,9,48,18,12,18,55,51,4,48:,48,"0,500",60,66
Surinam,13,6,13,63,19,14,30,90,107,-17,52:,74,"0,413",60,71
Solomon_Islands,6,6,6,42,17,8,17,98,90,8,42:,42,"0,500",59,59
Fiji,8,7,8,45,18,9,18,88,84,4,45:,45,"0,500",59,63
Lithuania,8,6,8,63,16,13,34,52,91,-39,45:,81,"0,357",59,61
